Date,Home Team,Score,Away Team
09-03-2024,Arsenal,2 - 1,Brentford
16-03-2024,Burnley,2 - 1,Brentford
06-04-2024,Aston Villa,3 - 3,Brentford
12-08-2023,Brighton,4 - 1,Luton
26-08-2023,Brighton,1 - 3,West Ham
02-09-2023,Brighton,3 - 1,Newcastle
24-09-2023,Brighton,3 - 1,Bournemouth
08-10-2023,Brighton,2 - 2,Liverpool
29-10-2023,Brighton,1 - 1,Fulham
12-11-2023,Brighton,1 - 1,Sheffield United
06-12-2023,Brighton,2 - 1,Brentford
09-12-2023,Brighton,1 - 1,Burnley
28-12-2023,Brighton,4 - 2,Tottenham
22-01-2024,Brighton,0 - 0,Wolves
03-02-2024,Brighton,4 - 1,Crystal Palace
24-02-2024,Brighton,1 - 1,Everton
10-03-2024,Brighton,1 - 0,Nott'm Forest
06-04-2024,Brighton,0 - 3,Arsenal
19-08-2023,Wolves,1 - 4,Brighton
16-09-2023,Man United,1 - 3,Brighton
30-09-2023,Aston Villa,6 - 1,Brighton
21-10-2023,Man City,2 - 1,Brighton
04-11-2023,Everton,1 - 1,Brighton
25-11-2023,Nott'm Forest,2 - 3,Brighton
03-12-2023,Chelsea,3 - 2,Brighton
17-12-2023,Arsenal,2 - 0,Brighton
21-12-2023,Crystal Palace,1 - 1,Brighton
02-01-2024,West Ham,0 - 0,Brighton
30-01-2024,Luton,4 - 0,Brighton
10-02-2024,Tottenham,2 - 1,Brighton
18-02-2024,Sheffield United,0 - 5,Brighton
02-03-2024,Fulham,3 - 0,Brighton
31-03-2024,Liverpool,2 - 1,Brighton
03-04-2024,Brentford,0 - 0,Brighton
13-04-2024,Burnley,? - ?,Brighton
11-08-2023,Burnley,0 - 3,Man City
27-08-2023,Burnley,1 - 3,Aston Villa
02-09-2023,Burnley,2 - 5,Tottenham
23-09-2023,Burnley,0 - 1,Man United
07-10-2023,Burnley,1 - 4,Chelsea
04-11-2023,Burnley,0 - 2,Crystal Palace
25-11-2023,Burnley,1 - 2,West Ham
02-12-2023,Burnley,5 - 0,Sheffield United
16-12-2023,Burnley,0 - 2,Everton
26-12-2023,Burnley,0 - 2,Liverpool
12-01-2024,Burnley,1 - 1,Luton
03-02-2024,Burnley,2 - 2,Fulham
17-02-2024,Burnley,0 - 5,Arsenal
03-03-2024,Burnley,0 - 2,Bournemouth
16-03-2024,Burnley,2 - 1,Brentford
02-04-2024,Burnley,1 - 1,Wolves
13-04-2024,Burnley,? - ?,Brighton
18-09-2023,Nott'm Forest,1 - 1,Burnley
30-09-2023,Newcastle,2 - 0,Burnley
03-10-2023,Luton,1 - 2,Burnley
21-10-2023,Brentford,3 - 0,Burnley
28-10-2023,Bournemouth,2 - 1,Burnley
11-11-2023,Arsenal,3 - 1,Burnley
05-12-2023,Wolves,1 - 0,Burnley
09-12-2023,Brighton,1 - 1,Burnley
23-12-2023,Fulham,0 - 2,Burnley
30-12-2023,Aston Villa,3 - 2,Burnley
31-01-2024,Man City,3 - 1,Burnley
10-02-2024,Liverpool,3 - 1,Burnley
24-02-2024,Crystal Palace,3 - 0,Burnley
10-03-2024,West Ham,2 - 2,Burnley
30-03-2024,Chelsea,2 - 2,Burnley
06-04-2024,Everton,1 - 0,Burnley
13-08-2023,Chelsea,1 - 1,Liverpool
25-08-2023,Chelsea,3 - 0,Luton
02-09-2023,Chelsea,0 - 1,Nott'm Forest
24-09-2023,Chelsea,0 - 1,Aston Villa
21-10-2023,Chelsea,2 - 2,Arsenal
28-10-2023,Chelsea,0 - 2,Brentford
12-11-2023,Chelsea,4 - 4,Man City
03-12-2023,Chelsea,3 - 2,Brighton
16-12-2023,Chelsea,2 - 0,Sheffield United
27-12-2023,Chelsea,2 - 1,Crystal Palace
13-01-2024,Chelsea,1 - 0,Fulham
04-02-2024,Chelsea,2 - 4,Wolves
11-03-2024,Chelsea,3 - 2,Newcastle
30-03-2024,Chelsea,2 - 2,Burnley
04-04-2024,Chelsea,4 - 3,Man United
15-04-2024,Chelsea,? - ?,Everton
20-08-2023,West Ham,3 - 1,Chelsea
17-09-2023,Bournemouth,0 - 0,Chelsea
02-10-2023,Fulham,0 - 2,Chelsea
07-10-2023,Burnley,1 - 4,Chelsea
06-11-2023,Tottenham,1 - 4,Chelsea
25-11-2023,Newcastle,4 - 1,Chelsea
06-12-2023,Man United,2 - 1,Chelsea
10-12-2023,Everton,2 - 0,Chelsea
24-12-2023,Wolves,2 - 1,Chelsea
30-12-2023,Luton,2 - 3,Chelsea
31-01-2024,Liverpool,4 - 1,Chelsea
12-02-2024,Crystal Palace,1 - 3,Chelsea
17-02-2024,Man City,1 - 1,Chelsea
02-03-2024,Brentford,2 - 2,Chelsea
07-04-2024,Sheffield United,2 - 2,Chelsea
21-08-2023,Crystal Palace,0 - 1,Arsenal
03-09-2023,Crystal Palace,3 - 2,Wolves
23-09-2023,Crystal Palace,0 - 0,Fulham
07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
27-10-2023,Crystal Palace,1 - 2,Tottenham
11-11-2023,Crystal Palace,2 - 3,Everton
06-12-2023,Crystal Palace,0 - 2,Bournemouth
09-12-2023,Crystal Palace,1 - 2,Liverpool
21-12-2023,Crystal Palace,1 - 1,Brighton
30-12-2023,Crystal Palace,3 - 1,Brentford
30-01-2024,Crystal Palace,3 - 2,Sheffield United
12-02-2024,Crystal Palace,1 - 3,Chelsea
24-02-2024,Crystal Palace,3 - 0,Burnley
09-03-2024,Crystal Palace,1 - 1,Luton
06-04-2024,Crystal Palace,2 - 4,Man City
12-08-2023,Sheffield United,0 - 1,Crystal Palace
26-08-2023,Brentford,1 - 1,Crystal Palace
16-09-2023,Aston Villa,3 - 1,Crystal Palace
30-09-2023,Man United,0 - 1,Crystal Palace
21-10-2023,Newcastle,4 - 0,Crystal Palace
04-11-2023,Burnley,0 - 2,Crystal Palace
25-11-2023,Luton,2 - 1,Crystal Palace
03-12-2023,West Ham,1 - 1,Crystal Palace
16-12-2023,Man City,2 - 2,Crystal Palace
27-12-2023,Chelsea,2 - 1,Crystal Palace
20-01-2024,Arsenal,5 - 0,Crystal Palace
03-02-2024,Brighton,4 - 1,Crystal Palace
19-02-2024,Everton,1 - 1,Crystal Palace
02-03-2024,Tottenham,3 - 1,Crystal Palace
30-03-2024,Nott'm Forest,1 - 1,Crystal Palace
02-04-2024,Bournemouth,1 - 0,Crystal Palace
14-04-2024,Liverpool,? - ?,Crystal Palace
12-08-2023,Everton,0 - 1,Fulham
26-08-2023,Everton,0 - 1,Wolves
17-09-2023,Everton,0 - 1,Arsenal
30-09-2023,Everton,1 - 2,Luton
07-10-2023,Everton,3 - 0,Bournemouth
04-11-2023,Everton,1 - 1,Brighton
26-11-2023,Everton,0 - 3,Man United
07-12-2023,Everton,3 - 0,Newcastle
10-12-2023,Everton,2 - 0,Chelsea
27-12-2023,Everton,1 - 3,Man City
14-01-2024,Everton,0 - 0,Aston Villa
03-02-2024,Everton,2 - 2,Tottenham
19-02-2024,Everton,1 - 1,Crystal Palace
02-03-2024,Everton,1 - 3,West Ham
06-04-2024,Everton,1 - 0,Burnley
20-08-2023,Aston Villa,4 - 0,Everton
02-09-2023,Sheffield United,2 - 2,Everton
23-09-2023,Brentford,1 - 3,Everton
21-10-2023,Liverpool,2 - 0,Everton
29-10-2023,West Ham,0 - 1,Everton
11-11-2023,Crystal Palace,2 - 3,Everton
02-12-2023,Nott'm Forest,0 - 1,Everton
16-12-2023,Burnley,0 - 2,Everton
23-12-2023,Tottenham,2 - 1,Everton
30-12-2023,Wolves,3 - 0,Everton
30-01-2024,Fulham,0 - 0,Everton
10-02-2024,Man City,2 - 0,Everton
24-02-2024,Brighton,1 - 1,Everton
09-03-2024,Man United,2 - 0,Everton
30-03-2024,Bournemouth,2 - 1,Everton
02-04-2024,Newcastle,1 - 1,Everton
15-04-2024,Chelsea,? - ?,Everton
19-08-2023,Fulham,0 - 3,Brentford
16-09-2023,Fulham,1 - 0,Luton
02-10-2023,Fulham,0 - 2,Chelsea
07-10-2023,Fulham,3 - 1,Sheffield United
04-11-2023,Fulham,0 - 1,Man United
27-11-2023,Fulham,3 - 2,Wolves
06-12-2023,Fulham,5 - 0,Nott'm Forest
10-12-2023,Fulham,5 - 0,West Ham
